"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","packages/x86_64-w64-mingw32/4.0/","1.4-5",NA,NA,NA,NA
"amc","packages/x86_64-w64-mingw32/4.0/","0.2.1","amc","achubaty","development","15c5229951700f9a638fd186f176f0e793d76c10"
"arm","packages/x86_64-w64-mingw32/4.0/","1.11-2",NA,NA,NA,NA
"askpass","packages/x86_64-w64-mingw32/4.0/","1.1",NA,NA,NA,NA
"assertthat","packages/x86_64-w64-mingw32/4.0/","0.2.1",NA,NA,NA,NA
"backports","packages/x86_64-w64-mingw32/4.0/","1.4.1",NA,NA,NA,NA
"base64enc","packages/x86_64-w64-mingw32/4.0/","0.1-3",NA,NA,NA,NA
"bibtex","packages/x86_64-w64-mingw32/4.0/","0.4.2.3",NA,NA,NA,NA
"bit","packages/x86_64-w64-mingw32/4.0/","4.0.4",NA,NA,NA,NA
"bit64","packages/x86_64-w64-mingw32/4.0/","4.0.5",NA,NA,NA,NA
"bitops","packages/x86_64-w64-mingw32/4.0/","1.0-7",NA,NA,NA,NA
"blme","packages/x86_64-w64-mingw32/4.0/","1.0-5",NA,NA,NA,NA
"blob","packages/x86_64-w64-mingw32/4.0/","1.2.2",NA,NA,NA,NA
"bookdown","packages/x86_64-w64-mingw32/4.0/","0.24",NA,NA,NA,NA
"brew","packages/x86_64-w64-mingw32/4.0/","1.0-6",NA,NA,NA,NA
"brio","packages/x86_64-w64-mingw32/4.0/","1.1.3",NA,NA,NA,NA
"broom","packages/x86_64-w64-mingw32/4.0/","0.7.12",NA,NA,NA,NA
"broom.mixed","packages/x86_64-w64-mingw32/4.0/","0.2.7",NA,NA,NA,NA
"bslib","packages/x86_64-w64-mingw32/4.0/","0.3.1",NA,NA,NA,NA
"cachem","packages/x86_64-w64-mingw32/4.0/","1.0.5",NA,NA,NA,NA
"callr","packages/x86_64-w64-mingw32/4.0/","3.7.0",NA,NA,NA,NA
"car","packages/x86_64-w64-mingw32/4.0/","3.0-12",NA,NA,NA,NA
"carData","packages/x86_64-w64-mingw32/4.0/","3.0-5",NA,NA,NA,NA
"cellranger","packages/x86_64-w64-mingw32/4.0/","1.1.0",NA,NA,NA,NA
"checkmate","packages/x86_64-w64-mingw32/4.0/","2.0.0",NA,NA,NA,NA
